Spotify ID,Name
3CIIaeZuFYrAD6PRVyuO4U,Felipe Amorim
1G9G7WwrXka3Z1r7aIDjI7,Outkast
00sCATpEvwH48ays7PlQFU,Jonita Gandhi
3uUcdriXzvaQapjo3a4DZR,Cristobal Tapia De Veer
3XHO7cRUPCLOr6jwp8vsx5,alt-J
4MavQ0I0q9aAXj0mErfkqC,Luísa e os Alquimistas
3nFkdlSjzX9mRTtwJOzDYB,JAY-Z
2mF7ygWz9oyJ3L6ZPWlZVH,Vigro Deep
4LLpKhyESsyAXpc4laK94U,Mac Miller
4iMO20EPodreIaEl8qW66y,Still Woozy
6PEMFpe3PTOksdV4ZXUpbE,NxWorries
0ys2OFYzWYB5hRDLCsBqxt,Fuerza Regida
6XBTCTrEHuF9jxzkqY4S0D,Brenno
09hVIj6vWgoCDtT03h8ZCa,A Tribe Called Quest
0fA0VVWsXO9YnASrzqfmYu,Kid Cudi
3Ujv6sa60JRiaxS8RVuNOj,Tuyo
59oA5WbbQvomJz2BuRG071,Jungle
0LshXUmIub6xKvOq4QmtNs,ITHAN NY
5FxD8fkQZ6KcsSYupDVoSO,Omar Apollo
5cMgGlA1xGyeAB2ctYlRdZ,Gang Starr
5me0Irg2ANcsgc93uaYrpb,The Notorious B.I.G.
7iK8PXO48WeuP03g8YR51W,Myke Towers
7ltDVBr6mKbRvohxheJ9h1,ROSALÍA
6rwq7oW7O6Aq2ycOKsfXJi,Connor Casper
0Oyxj6T9BLAkfJmxEMbuFn,Clara Valverde
777DUvjLDJpcVq84ogE8sG,DJ Jader Tremendo
7xGwSsxEISjWZGbaXiLN8z,Lamparina
4m5LghDfOKFZNEBZ0GO1OQ,Jovem Dionisio
0JCwkTQqtgVQXBRxwEloEg,Os Fugitivos
0fpg4Y7Q6ZRDSppLLt7G0n,Mc Tha
12i4XNuGj3mOnIsmeyw1HR,Rachel Reis
3WrFJ7ztbogyGnTHbHJFl2,The Beatles
6q7nMIVgGohQ14mSsq3F8t,Gilsons
2LRoIwlKmHjgvigdNGBHNo,Feid
50sftj2oW2iBviA6RkTzsz,Silva
5wbf52LA6kcaboHSN6NEF1,PEDRO SAMPAIO
7hJcb9fa4alzcOq3EaNPoG,Snoop Dogg
2GHclqNVjqGuiE5mA7BEoc,Common
2TcGJdSOiOvITBzhvfX8XB,Shouse
0Y5tJX1MQlPlqiwlOH1tJY,Travis Scott
5JHYuwE2n7bleXMUsmtCW5,BaianaSystem
5D56dZmhE9DgT01XixdHiD,Lagum
3ycxRkcZ67ALN3GQJ57Vig,Masego
21451j1KhjAiaYKflxBjr1,Zion & Lennox
5wJ1H6ud777odtZl5gG507,Vishal Mishra
2QLSJqqGIstNbO6nYRR16o,DUDA BEAT
738wLrAtLtCtFOLvQBXOXp,Major Lazer
05etL4pzWd6TSv1x5WrlG3,Faheem Abdullah
4laQz4PaKeh2Hu6QL6evVD,Tribalistas
3kb5Da0lPehCHCE5SVLNQk,Hillsong Chapel
1yxSLGMDHlW21z4YXirZDS,Black Eyed Peas
48pDK4NOqLtJxn5AAKVUra,YT
2sSGPbdZJkaSE2AbcGOACx,The Marías
4859dldHEllxxWOTQS1QKI,ALMAR
0jsnWH4QCKcAMpR7vEhh9u,¿Téo?
2JJKoRrK7Eec7jlcjFB7sc,Dabzee
2uSwBbWqsXgoMYQjynmwQ7,Di propósito
6s22t5Y3prQHyaHWUN1R1C,AJR
7a0XAaPaK2aDSqa8p3QnC7,Beéle
1vrahybrKylgwkjhbmOz94,Yera
1CbQrKvCpEnekM3QMGJtXK,MC Meno K
7gOdHgIoIKoe4i9Tta6qdD,Jonas Brothers
3nuc29fYGlQbIrwh4yrNWd,Lake Street Dive
